comp_id,name,bedrooms,bathrooms,amenities,notes,source_url,airbnb_room_id,platform,for_properties,as_of,stay_date,listed_price,available,source
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-01.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-01,875,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-05.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-05,875,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-08.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-08,875,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-12.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-12,950,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-15.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-15,950,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-19.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-19,950,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-22.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-22,1450,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-26.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-26,1450,1,manual_research_2023
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens,Luxury custom home Lakota; sleeps 18. Active on WPLC by Dec 2023. Rates est. from WPLC Dec 2023 season band + industry reports. Decision context 2023-11-15; stay 2023-12-29.,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2023-12-29,1450,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-01.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-01,725,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-05.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-05,725,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-08.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-08,725,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-12.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-12,800,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-15.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-15,800,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-19.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-19,800,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-22.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-22,1250,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-26.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-26,1250,1,manual_research_2023
comp_rifle_shot,Rifle Shot,5,4.0,hot tub|Grand Park|bunk room,Grand Park new-build area; sleeps 18. Winter Park House. Dec 2023 rates est. from WPH seasonal pricing patterns. Decision context 2023-11-15; stay 2023-12-29.,https://winterparkhouse.com/our-homes/rifle-shot/,,airbnb,cloud_9,2026-09-01,2023-12-29,1250,1,manual_research_2023
